,y_Data_Test,y_Predict
0,0.0,1.4190862606842103
1,2.5,-4.040088241986368
2,25.0,23.307511401558898
3,22.0,19.28922575953375
4,25.5,18.76345564614634
5,13.5,12.695706772576798
6,0.0,-0.9971713517202687
7,10.0,14.016709683000116
8,18.0,20.797232208494464
9,3.0,3.6042583714114045
10,6.0,13.559509648479619
11,13.5,10.318215880961546
12,16.0,9.599489782038702
13,24.0,26.388950303586043
14,14.5,15.81188593623888
15,13.0,16.96582782527362
16,24.0,23.267912147145765
17,26.0,20.796671325378583
18,16.0,17.428023847016874
19,26.0,23.75145584173194
20,12.0,20.470627780579406
21,8.0,4.912238246386977
22,12.0,14.076371907460697
23,6.0,4.715000852884685
24,14.5,18.162032142352444
25,20.0,21.562684069539017
26,15.0,23.26536319286376
27,12.0,14.773386775419084
28,14.0,20.15152296681842
29,1.5,10.077972843207561
30,14.0,10.227233602080986
31,18.0,24.24526118550827
32,8.0,8.1481536685437
33,4.0,9.710811013943811
34,15.0,9.71664946474765
35,2.0,14.09329045791809
36,2.0,13.079761787922497
37,26.0,24.7025141161016
38,15.0,14.609604918434105
39,10.0,12.284863666975514
40,24.0,25.504716496900972
41,25.0,22.50603182386293
42,14.5,11.712628898936817
43,16.0,15.45825772656507
44,25.0,25.330384968395027
45,3.0,3.847094188537074
46,14.0,8.604165632742923
47,13.5,15.081569881604981
48,8.0,4.22485610124976
49,10.0,11.295048171294173
50,1.5,8.529136316531993
51,18.0,19.63290380288061
52,25.5,24.795010855705076
53,22.0,27.41617219527041
54,25.5,21.91886902580598
55,20.0,31.40216555153518
56,2.5,-4.958305587100877
57,3.0,2.2164670937444306
58,1.0,-17.357759445943994
59,1.0,18.43960474880885
60,6.0,3.240174297566117
61,0.0,-4.982150370777273
62,4.0,4.854034914657749
63,13.0,14.09413057832342
64,1.0,-0.5990415015650079
65,13.0,12.736884907701896
66,22.0,28.37284922211609
67,4.0,0.23878428896103188
